iter	Passed	Remaining
402	12227	18113
403	12257	18082
404	12287	18051
405	12316	18020
406	12347	17990
407	12377	17959
408	12407	17929
409	12435	17894
410	12464	17862
411	12495	17833
412	12525	17802
413	12555	17771
414	12584	17739
415	12613	17707
416	12642	17675
417	12672	17645
418	12701	17612
419	12730	17580
420	12759	17548
421	12790	17518
422	12818	17485
423	12847	17452
424	12877	17422
425	12907	17391
426	12936	17359
427	12967	17330
428	12996	17298
429	13026	17267
430	13054	17234
431	13085	17205
432	13114	17173
433	13145	17143
434	13175	17113
435	13203	17079
436	13231	17046
437	13260	17014
438	13290	16983
439	13319	16951
440	13348	16920
441	13377	16888
442	13406	16856
443	13435	16824
444	13462	16790
445	13493	16761
446	13522	16729
447	13551	16697
448	13581	16666
449	13610	16634
450	13639	16603
451	13669	16572
452	13700	16543
453	13730	16512
454	13758	16479
455	13786	16447
456	13817	16418
457	13848	16388
458	13877	16356
459	13907	16326
460	13934	16292
461	13966	16263
462	13995	16232
463	14026	16203
464	14056	16172
465	14086	16141
466	14116	16111
467	14145	16080
468	14175	16049
469	14204	16018
470	14235	15988
471	14263	15956
472	14293	15925
473	14323	15894
474	14352	15863
475	14382	15832
476	14413	15803
477	14443	15773
478	14474	15743
479	14502	15710
480	14533	15681
481	14563	15650
482	14590	15618
483	14620	15586
484	14647	15553
485	14676	15521
486	14706	15491
487	14735	15460
488	14763	15428
489	14796	15400
490	14824	15368
491	14854	15337
492	14883	15306
493	14914	15276
494	14945	15247
495	14976	15217
496	15006	15187
497	15036	15157
498	15064	15125
499	15092	15092
500	15121	15061
501	15151	15030
502	15181	15000
503	15211	14970
504	15241	14939
505	15270	14908
506	15298	14876
507	15329	14846
508	15356	14813
509	15385	14781
510	15414	14751
511	15445	14721
512	15475	14691
513	15504	14660
514	15534	14629
515	15565	14600
516	15593	14567
517	15621	14535
518	15649	14503
519	15680	14473
520	15708	14442
521	15738	14412
522	15768	14381
523	15796	14349
524	15825	14318
525	15855	14288
526	15885	14257
527	15915	14227
528	15945	14197
529	15974	14165
530	16002	14134
531	16031	14103
532	16059	14071
533	16086	14038
534	16117	14008
535	16148	13979
536	16178	13949
537	16207	13917
538	16237	13887
539	16265	13855
540	16293	13824
541	16322	13793
542	16352	13762
543	16382	13732
544	16412	13702
545	16444	13673
546	16473	13642
547	16503	13612
548	16533	13582
549	16564	13552
550	16593	13521
551	16621	13490
552	16651	13459
553	16680	13428
554	16710	13398
555	16739	13367
556	16770	13337
557	16800	13307
558	16828	13275
559	16856	13244
560	16885	13213
561	16914	13182
562	16945	13152
563	16975	13122
564	17005	13092
565	17035	13062
566	17066	13033
567	17097	13003
568	17127	12973
569	17158	12943
570	17188	12913
571	17217	12883
572	17247	12853
573	17276	12822
574	17306	12792
575	17337	12762
576	17367	12731
577	17396	12701
578	17426	12671
579	17456	12640
580	17485	12610
581	17516	12580
582	17546	12550
583	17576	12520
584	17605	12489
585	17634	12458
586	17664	12428
587	17692	12396
588	17722	12366
589	17752	12336
590	17784	12307
591	17813	12277
592	17842	12246
593	17873	12216
594	17903	12186
595	17932	12155
596	17962	12125
597	17991	12094
598	18020	12063
599	18050	12033
600	18079	12002
601	18112	11974
602	18142	11944
603	18171	11913
604	18201	11883
605	18230	11852
606	18260	11822
607	18289	11792
608	18320	11762
609	18347	11730
610	18379	11701
611	18409	11671
612	18440	11642
613	18474	11613
614	18503	11583
615	18533	11553
616	18561	11522
617	18592	11492
618	18621	11461
619	18650	11431
620	18680	11400
621	18708	11369
622	18737	11338
623	18768	11309
624	18797	11278
625	18827	11248
626	18857	11218
627	18887	11188
628	18915	11157
629	18945	11126
630	18975	11096
631	19005	11066
632	19034	11035
633	19064	11005
634	19093	10975
635	19124	10945
636	19154	10915
637	19183	10884
638	19213	10854
639	19242	10824
640	19272	10793
641	19303	10764
642	19333	10734
643	19362	10703
644	19390	10672
645	19419	10641
646	19447	10610
647	19476	10579
648	19506	10549
649	19534	10518
650	19564	10488
651	19595	10458
652	19623	10427
653	19652	10396
654	19684	10368
655	19713	10337
656	19741	10306
657	19770	10275
658	19799	10245
659	19829	10215
660	19858	10184
661	19888	10154
662	19916	10123
663	19947	10094
664	19975	10062
665	20004	10032
666	20033	10001
667	20061	9970
668	20091	9940
669	20124	9911
670	20153	9881
671	20183	9851
672	20211	9820
673	20239	9789
674	20268	9759
675	20297	9728
676	20328	9698
677	20357	9668
678	20388	9638
679	20417	9608
680	20445	9577
681	20474	9546
682	20503	9516
683	20532	9485
684	20563	9456
685	20593	9426
686	20621	9395
687	20652	9365
688	20681	9335
689	20709	9304
690	20739	9274
691	20768	9243
692	20797	9213
693	20828	9183
694	20859	9154
695	20887	9123
696	20914	9091
697	20944	9062
698	20973	9031
699	21003	9001
700	21032	8971
701	21060	8940
702	21090	8910
703	21120	8880
704	21150	8850
705	21179	8819
706	21209	8789
707	21239	8759
708	21268	8729
709	21297	8699
710	21327	8669
711	21358	8639
712	21391	8610
713	21419	8579
714	21449	8549
715	21479	8519
716	21508	8489
717	21537	8459
718	21567	8429
719	21597	8398
720	21626	8368
721	21655	8338
722	21683	8307
723	21712	8276
724	21739	8246
725	21768	8215
726	21796	8185
727	21825	8154
728	21853	8123
729	21884	8094
730	21916	8065
731	21946	8035
732	21974	8004
733	22004	7974
734	22033	7944
735	22063	7914
736	22091	7883
737	22122	7853
738	22154	7824
739	22185	7794
740	22215	7764
741	22244	7734
742	22272	7703
743	22301	7673
744	22332	7643
745	22361	7613
746	22389	7582
747	22418	7552
748	22449	7523
749	22477	7492
750	22506	7462
751	22535	7431
752	22563	7401
753	22592	7370
754	22621	7340
755	22649	7310
756	22680	7280
757	22711	7250
758	22740	7220
759	22772	7191
760	22800	7160
761	22830	7130
762	22858	7100
763	22886	7069
764	22916	7039
765	22947	7010
766	22976	6979
767	23004	6949
768	23034	6919
769	23063	6889
770	23094	6859
771	23123	6829
772	23155	6799
773	23184	6769
774	23212	6739
775	23238	6708
776	23267	6677
777	23295	6647
778	23324	6617
779	23354	6587
780	23384	6557
781	23415	6527
782	23444	6497
783	23473	6467
784	23501	6436
785	23531	6406
786	23558	6376
787	23588	6346
788	23616	6315
789	23647	6285
790	23675	6255
791	23704	6225
792	23733	6195
793	23761	6164
794	23790	6134
795	23820	6104
796	23850	6074
797	23880	6045
798	23911	6015
799	23942	5985
800	23972	5955
801	24003	5926
802	24034	5896
803	24065	5866
804	24095	5836
805	24124	5806
806	24154	5776
807	24182	5746
808	24210	5715
809	24240	5685
810	24269	5655
811	24299	5625
812	24329	5596
813	24359	5566
814	24388	5536
815	24418	5506
